Date,Total Deposit,Total Borrowed,Utilization Rate,Liquidity,Fee,Revenue,Fully Diluted Market Cap,Circulating Market Cap,Price
2019-01-04,273845651.27,0,0.0,273845651.27,TBD,TBD,485849297.99,351831633.31,483.15
2019-01-05,288674544.41,0,0.0,288674544.41,TBD,TBD,494264893.95,357868478.97,491.52
2019-01-06,297321259.69,0,0.0,297321259.69,TBD,TBD,502402404.28,363586225.50,499.62
2019-01-07,286168221.10,0,0.0,286168221.1,TBD,TBD,506044074.62,366395440.50,503.24
2019-01-08,285073686.76,0,0.0,285073686.76,TBD,TBD,487739145.89,353891661.85,485.03
2019-01-09,278233166.50,0,0.0,278233166.5,TBD,TBD,486277830.03,352216829.20,483.58
2019-01-10,105898455.25,0,0.0,105898455.25,TBD,TBD,487483685.69,353262182.83,484.78
2019-01-11,244360898.99,0,0.0,244360898.99,TBD,TBD,432545876.15,312889422.88,430.15
2019-01-12,278791638.42,0,0.0,278791638.42,TBD,TBD,426573896.80,308443080.81,424.21
2019-01-13,245391943.66,0,0.0,245391943.66,TBD,TBD,428073183.70,309134396.96,425.70
2019-01-14,178407107.72,0,0.0,178407107.72,TBD,TBD,412919330.32,298865864.86,410.63
2019-01-15,249206208.71,0,0.0,249206208.71,TBD,TBD,452098797.90,327725963.47,449.59
2019-01-16,251319025.91,0,0.0,251319025.91,TBD,TBD,436870783.86,316208431.70,434.45
2019-01-17,254476809.55,0,0.0,254476809.55,TBD,TBD,453900995.22,328867097.77,451.38
2019-01-18,265692973.85,0,0.0,265692973.85,TBD,TBD,466443127.83,337768002.17,463.86
2019-01-19,232633384.42,0,0.0,232633384.42,TBD,TBD,459825482.64,333139401.98,457.28
2019-01-20,239565945.56,0,0.0,239565945.56,TBD,TBD,465793049.81,336937541.90,463.21
2019-01-21,236425378.18,0,0.0,236425378.18,TBD,TBD,453238027.04,328335516.52,450.72
2019-01-22,229107169.52,0,0.0,229107169.52,TBD,TBD,426413870.54,308851118.79,424.05
2019-01-23,223419377.33,0,0.0,223419377.33,TBD,TBD,452601155.45,327782715.65,450.09
2019-01-24,231128356.93,0,0.0,231128356.93,TBD,TBD,457833231.43,331399172.55,455.29
2019-01-25,229036911.98,0,0.0,229036911.98,TBD,TBD,470551577.34,340768261.29,467.94
2019-01-26,229350909.85,0,0.0,229350909.85,TBD,TBD,466784773.98,338100499.76,464.20
2019-01-27,232775186.82,0,0.0,232775186.82,TBD,TBD,446379856.20,323289303.91,443.90
2019-01-28,227553078.00,0,0.0,227553078.0,TBD,TBD,431732979.07,312484124.58,429.34
2019-01-29,99119725.09,0,0.0,99119725.09,TBD,TBD,396765930.14,287491535.88,394.57
2019-01-30,206497811.34,0,0.0,206497811.34,TBD,TBD,397128703.85,287608969.31,394.93
2019-01-31,210148472.22,0,0.0,210148472.22,TBD,TBD,377438064.24,273408898.68,375.34
2019-02-01,216195888.51,0,0.0,216195888.51,TBD,TBD,367774932.97,266277227.00,365.74
2019-02-02,214689445.24,0,0.0,214689445.24,TBD,TBD,376136781.57,272312586.99,374.05
2019-02-03,217434805.56,0,0.0,217434805.56,TBD,TBD,380441095.18,274020024.24,378.33
2019-02-04,217464838.72,0,0.0,217464838.72,TBD,TBD,377097470.06,273243616.66,375.01
2019-02-05,216797962.62,0,0.0,216797962.62,TBD,TBD,395226363.02,285263717.39,393.03
2019-02-06,218522363.53,0,0.0,218522363.53,TBD,TBD,398870891.67,288857899.49,396.66
2019-02-07,210990225.40,0,0.0,210990225.4,TBD,TBD,394934523.22,286007224.89,392.74
2019-02-08,216125664.77,0,0.0,216125664.77,TBD,TBD,402044369.05,291156096.80,399.81
2019-02-09,220896084.25,0,0.0,220896084.25,TBD,TBD,443798981.59,321594338.92,441.34
2019-02-10,246516060.78,0,0.0,246516060.78,TBD,TBD,454670811.26,329453702.69,452.15
2019-02-11,243147997.20,0,0.0,243147997.2,TBD,TBD,472662419.71,342296910.05,470.04
2019-02-12,249056274.69,0,0.0,249056274.69,TBD,TBD,482513504.18,349430956.75,479.84
2019-02-13,246891104.07,0,0.0,246891104.07,TBD,TBD,507749443.61,367386204.17,504.93
2019-02-14,252330117.42,0,0.0,252330117.42,TBD,TBD,547277429.79,396332277.21,544.24
2019-02-15,249014889.06,0,0.0,249014889.06,TBD,TBD,518892871.37,375982972.82,516.02
2019-02-16,252662176.39,0,0.0,252662176.39,TBD,TBD,502589678.35,363969900.61,499.80
2019-02-17,252503720.02,0,0.0,252503720.02,TBD,TBD,508917326.48,368578313.91,506.09
2019-02-18,264590109.09,0,0.0,264590109.09,TBD,TBD,543447463.49,393623888.96,540.43
2019-02-19,287766062.74,0,0.0,287766062.74,TBD,TBD,578733569.20,419112466.36,575.52
2019-02-20,306221522.40,0,0.0,306221522.4,TBD,TBD,633200645.74,458660503.69,629.69
2019-02-21,304548188.12,0,0.0,304548188.12,TBD,TBD,661214217.15,479555484.63,657.55
2019-02-22,302379099.70,0,0.0,302379099.7,TBD,TBD,646133602.51,467397667.99,642.55
2019-02-23,310103145.80,0,0.0,310103145.8,TBD,TBD,670375967.27,487001954.87,666.66
2019-02-24,310601424.94,0,0.0,310601424.94,TBD,TBD,736619987.95,533452069.05,732.53
2019-02-25,344705717.03,0,0.0,344705717.03,TBD,TBD,651988421.21,475819736.97,648.37
2019-02-26,291862956.49,0,0.0,291862956.49,TBD,TBD,673765768.48,487933736.70,670.03
2019-02-27,291068142.56,0,0.0,291068142.56,TBD,TBD,682550271.68,494461399.73,678.76
2019-02-28,294046143.31,0,0.0,294046143.31,TBD,TBD,658024474.55,476483655.25,654.38
2019-03-01,292040933.65,0,0.0,292040933.65,TBD,TBD,672653050.95,487634957.88,668.92
2019-03-02,296111729.86,0,0.0,296111729.86,TBD,TBD,672020338.22,487088376.39,668.29
2019-03-03,285473122.32,0,0.0,285473122.32,TBD,TBD,675430797.63,489045190.61,671.68
2019-03-04,287002415.15,0,0.0,287002415.15,TBD,TBD,665539552.85,481950961.62,661.85
2019-03-05,270936438.36,0,0.0,270936438.36,TBD,TBD,620862652.37,449621883.63,617.42
2019-03-06,276708574.74,0,0.0,276708574.74,TBD,TBD,678621470.62,491320317.06,674.86
2019-03-07,300290540.66,0,0.0,300290540.66,TBD,TBD,686043059.13,496829564.10,682.24
2019-03-08,302754391.08,0,0.0,302754391.08,TBD,TBD,676174805.77,489387338.53,672.42
2019-03-09,294649561.62,0,0.0,294649561.62,TBD,TBD,667239711.50,483406492.88,663.54
2019-03-10,305036738.65,0,0.0,305036738.65,TBD,TBD,648213773.13,469404833.33,644.62
2019-03-11,294082104.60,0,0.0,294082104.6,TBD,TBD,649658080.04,470474224.22,646.06
2019-03-12,291508947.50,0,0.0,291508947.5,TBD,TBD,653616044.30,473269650.05,649.99
2019-03-13,293239777.89,0,0.0,293239777.89,TBD,TBD,659404197.41,477394571.18,655.75
2019-03-14,287949170.82,0,0.0,287949170.82,TBD,TBD,644131335.72,466616521.74,640.56
2019-03-15,290717107.06,0,0.0,290717107.06,TBD,TBD,651571916.31,471380817.46,647.96
2019-03-16,296375880.86,0,0.0,296375880.86,TBD,TBD,681217903.88,492975171.96,677.44
2019-03-17,314660780.85,0,0.0,314660780.85,TBD,TBD,705656364.92,511237222.03,701.74
2019-03-18,314597923.32,0,0.0,314597923.32,TBD,TBD,700865610.90,507612237.72,696.98
2019-03-19,310599055.01,0,0.0,310599055.01,TBD,TBD,690563241.68,500114299.67,686.73
2019-03-20,307723121.64,0,0.0,307723121.64,TBD,TBD,708339697.51,512901317.19,704.41
2019-03-21,308074619.73,0,0.0,308074619.73,TBD,TBD,702262318.68,508570623.99,698.37
2019-03-22,305486486.83,0,0.0,305486486.83,TBD,TBD,705143727.91,510805267.21,701.23
2019-03-23,298000124.79,0,0.0,298000124.79,TBD,TBD,730072174.84,725957088.87,726.02
2019-03-24,299355874.34,0,0.0,299355874.34,TBD,TBD,736537416.24,732115061.46,732.45
2019-03-25,301064057.97,0,0.0,301064057.97,TBD,TBD,731520629.25,727382274.69,727.46
2019-03-26,295250525.69,0,0.0,295250525.69,TBD,TBD,717638073.88,713905348.92,713.66
2019-03-27,291362076.31,0,0.0,291362076.31,TBD,TBD,687204035.98,709883966.65,683.39
2019-03-28,306190288.73,0,0.0,306190288.73,TBD,TBD,732820824.92,728944759.57,728.76
2019-03-29,299266715.55,0,0.0,299266715.55,TBD,TBD,723607904.96,719592934.81,719.59
2019-03-30,307754976.73,0,0.0,307754976.73,TBD,TBD,704102747.52,700401771.38,700.20
2019-03-31,313300444.16,0,0.0,313300444.16,TBD,TBD,714730295.27,710542117.58,710.77
2019-04-01,310517949.46,0,0.0,310517949.46,TBD,TBD,714633351.47,710487215.84,710.67
2019-04-02,308151536.02,0,0.0,308151536.02,TBD,TBD,713197405.85,709381235.55,709.24
2019-04-03,336263593.04,0,0.0,336263593.04,TBD,TBD,791101728.44,791576992.14,786.71
2019-04-04,366829799.76,0,0.0,366829799.76,TBD,TBD,762174310.29,761067148.58,757.95
2019-04-05,352168339.59,0,0.0,352168339.59,TBD,TBD,736253999.25,732363871.84,732.17
2019-04-06,360427476.27,0,0.0,360427476.27,TBD,TBD,784622511.17,780661764.07,780.27
2019-04-07,359762073.94,0,0.0,359762073.94,TBD,TBD,773009294.80,769698836.55,768.72
2019-04-08,370316546.32,0,0.0,370316546.32,TBD,TBD,787859487.06,768008464.12,783.49
2019-04-09,389777636.63,0,0.0,389777636.63,TBD,TBD,715513070.39,712400917.58,711.54
2019-04-10,389689615.71,0,0.0,389689615.71,TBD,TBD,713549041.74,709189200.62,709.59
2019-04-11,397725873.40,0,0.0,397725873.4,TBD,TBD,717841035.16,714126644.96,713.86
2019-04-12,363504425.16,0,0.0,363504425.16,TBD,TBD,652077134.80,648756953.09,648.46
2019-04-13,363879857.13,0,0.0,363879857.13,TBD,TBD,638462894.78,635094420.36,634.92
2019-04-14,356169537.08,0,0.0,356169537.08,TBD,TBD,628542323.86,624948456.47,625.06
2019-04-15,356564060.50,0,0.0,356564060.5,TBD,TBD,634184854.80,630609059.13,630.67
2019-04-16,359978384.96,0,0.0,359978384.96,TBD,TBD,632716527.98,629022417.60,629.21
2019-04-17,349781355.25,0,0.0,349781355.25,TBD,TBD,638037641.30,634407903.87,634.50
2019-04-18,362216603.89,0,0.0,362216603.89,TBD,TBD,633834605.65,630443016.11,630.32
2019-04-19,367751489.12,0,0.0,367751489.12,TBD,TBD,647517812.79,643965307.19,643.93
2019-04-20,370528927.98,0,0.0,370528927.98,TBD,TBD,627532700.89,624525319.57,624.05
2019-04-21,363873891.89,0,0.0,363873891.89,TBD,TBD,614539601.43,611137863.18,611.13
2019-04-22,353841906.86,0,0.0,353841906.86,TBD,TBD,607207049.63,603514761.72,603.84
2019-04-23,361419880.32,0,0.0,361419880.32,TBD,TBD,608997829.62,605945101.95,605.62
2019-04-24,368961570.52,0,0.0,368961570.52,TBD,TBD,598591739.02,594907412.61,595.27
2019-04-25,345312753.75,0,0.0,345312753.75,TBD,TBD,579553977.07,573421062.27,576.34
2019-04-26,341653434.12,0,0.0,341653434.12,TBD,TBD,519471711.99,516161700.89,516.59
2019-04-27,324636100.10,0,0.0,324636100.1,TBD,TBD,500337292.31,495063832.23,497.56
2019-04-28,322142508.58,0,0.0,322142508.58,TBD,TBD,501231837.87,498022518.26,498.45
2019-04-29,326910738.77,0,0.0,326910738.77,TBD,TBD,534748240.21,531653752.55,531.78
2019-04-30,316208536.69,0,0.0,316208536.69,TBD,TBD,521133379.61,518253549.55,518.24
2019-05-01,330266902.81,0,0.0,330266902.81,TBD,TBD,536052417.12,533064818.43,533.08
2019-05-02,337903142.24,0,0.0,337903142.24,TBD,TBD,516791019.11,513691869.62,513.92
2019-05-03,330725454.24,0,0.0,330725454.24,TBD,TBD,521188927.36,517742081.05,518.30
2019-05-04,338211869.68,0,0.0,338211869.68,TBD,TBD,555058064.14,551544729.15,551.98
2019-05-05,333913390.73,0,0.0,333913390.73,TBD,TBD,534001877.76,531037180.16,531.04
2019-05-06,334871013.89,0,0.0,334871013.89,TBD,TBD,519870558.78,516646793.33,516.99
2019-05-07,334477830.05,0,0.0,334477830.05,TBD,TBD,529560578.00,526422333.07,526.62
2019-05-08,365783299.78,0,0.0,365783299.78,TBD,TBD,538283462.56,536642559.46,535.30
2019-05-09,345624122.33,0,0.0,345624122.33,TBD,TBD,537194578.53,533847652.68,534.22
2019-05-10,347011258.01,0,0.0,347011258.01,TBD,TBD,522277362.00,519683371.53,519.38
2019-05-11,342942900.86,0,0.0,342942900.86,TBD,TBD,525551629.79,521541152.86,522.64
2019-05-12,368678797.16,0,0.0,368678797.16,TBD,TBD,597122734.36,596771538.27,593.81
2019-05-13,374430300.71,0,0.0,374430300.71,TBD,TBD,559730306.69,556158373.35,556.63
2019-05-14,380020029.50,0,0.0,380020029.5,TBD,TBD,588637044.36,585671343.53,585.37
2019-05-15,405311092.53,0,0.0,405311092.53,TBD,TBD,625500207.79,620652907.75,622.03
2019-05-16,445689634.11,0,0.0,445689634.11,TBD,TBD,693833082.70,707776806.47,689.99
2019-05-17,449960367.43,0,0.0,449960367.43,TBD,TBD,667228554.94,660881133.83,663.53
2019-05-18,415545733.56,0,0.0,415545733.56,TBD,TBD,630058507.55,624609160.33,626.56
2019-05-19,426843604.35,0,0.0,426843604.35,TBD,TBD,626624245.89,623188377.11,623.15
2019-05-20,456198217.85,0,0.0,456198217.85,TBD,TBD,681546935.70,678597045.32,677.77
2019-05-21,445271008.45,0,0.0,445271008.45,TBD,TBD,665313315.42,661585212.07,661.62
2019-05-22,443650565.04,0,0.0,443650565.04,TBD,TBD,669838807.81,668738053.29,666.12
2019-05-23,443675488.72,0,0.0,443675488.72,TBD,TBD,663304957.30,659431311.94,659.63
2019-05-24,418188796.56,0,0.0,418188796.56,TBD,TBD,658448262.88,656018134.78,654.80
2019-05-25,444064522.62,0,0.0,444064522.62,TBD,TBD,676702905.73,672402163.01,672.95
2019-05-26,451283928.17,0,0.0,451283928.17,TBD,TBD,701061119.88,696874013.35,697.17
2019-05-27,432837347.71,0,0.0,432837347.71,TBD,TBD,737811681.54,734296707.00,733.72
2019-05-28,457895631.38,0,0.0,457895631.38,TBD,TBD,755539386.15,751459316.77,751.35
2019-05-29,443161246.92,0,0.0,443161246.92,TBD,TBD,750036681.03,745884054.78,745.88
2019-05-30,440208045.95,0,0.0,440208045.95,TBD,TBD,762598834.24,757701639.44,758.37
2019-05-31,460889453.85,0,0.0,460889453.85,TBD,TBD,723307183.94,719850585.09,719.30
2019-06-01,418065416.00,0,0.0,418065416.0,TBD,TBD,744644758.12,739789128.62,740.51
2019-06-02,442284043.61,0,0.0,442284043.61,TBD,TBD,730938828.03,729794624.38,726.88
2019-06-03,443397973.96,0,0.0,443397973.96,TBD,TBD,736328652.86,731987245.46,732.24
2019-06-04,432337549.86,0,0.0,432337549.86,TBD,TBD,699089564.40,695067281.84,695.21
2019-06-05,402844375.88,0,0.0,402844375.88,TBD,TBD,656260051.94,651591477.30,652.62
2019-06-06,403815131.27,0,0.0,403815131.27,TBD,TBD,686630834.75,682824466.65,682.82
2019-06-07,406761916.85,0,0.0,406761916.85,TBD,TBD,716663210.31,713398116.17,712.69
2019-06-08,409342419.47,0,0.0,409342419.47,TBD,TBD,773023428.46,765434331.29,768.74
2019-06-09,410415790.07,0,0.0,410415790.07,TBD,TBD,775278401.19,770693868.00,770.98
2019-06-10,401360284.64,0,0.0,401360284.64,TBD,TBD,740791988.82,736802347.02,736.68
2019-06-11,400410873.42,0,0.0,400410873.42,TBD,TBD,728618310.82,725061980.36,724.58
2019-06-12,394818791.27,0,0.0,394818791.27,TBD,TBD,715481390.54,713689919.03,711.51
2019-06-13,410335167.93,0,0.0,410335167.93,TBD,TBD,748328742.79,742818440.21,744.18
2019-06-14,422308648.03,0,0.0,422308648.03,TBD,TBD,726672189.68,722314069.60,722.64
2019-06-15,419465215.05,0,0.0,419465215.05,TBD,TBD,736191118.55,734087376.49,732.11
2019-06-16,429759407.63,0,0.0,429759407.63,TBD,TBD,732060637.44,727529801.43,728.00
2019-06-17,443207073.77,0,0.0,443207073.77,TBD,TBD,738895961.04,737049116.74,734.80
2019-06-18,445751775.01,0,0.0,445751775.01,TBD,TBD,741700846.00,737712666.49,737.59
